id,track_id,title,artist,genre,source,filename,path,tempo,rms,zcr,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
demo_000,D0000,Crystal Voyage,Aster Club,Pop,demo,,,110.26636783405084,0.1892187696020624,0.063493408790052,2678.397078339891,4678.531858275911,-152.56226336196454,-148.06987284992397,-118.49639043354834,-101.7254822688703,-109.6082815092307,-89.16743605489854,-62.47727677466172,-50.77994073874866,-33.13440926003431,-24.57435142058864,4.5351837989026285,18.972335483431586,28.528245580489727
demo_001,D0001,Electric Lights,Glass Harbor,Rock,demo,,,137.54381480317946,0.2682243073180222,0.0936326305081415,2631.5593159897426,5045.473077252767,-151.47889890836208,-140.44743635523153,-110.21966929060775,-106.23623585655042,-93.42662257730484,-77.81706840390584,-55.74152651557321,-42.07644748508737,-26.69813910723209,-11.553431975936938,17.13318080696369,11.748679868923077,25.9020581674277
demo_002,D0002,Electric Garden,Mira Chen,Electronic,demo,,,121.76664611136484,0.2040280537939164,0.0816982929852798,3538.684740920943,5727.692620251905,-139.7952576974024,-124.30396663037246,-111.15476585355844,-106.07407765830956,-84.14270941546624,-70.31651352687417,-54.750491226167895,-34.77856977641448,-25.211235609802543,-6.818691495424841,3.040632555911132,19.562955189519872,37.05030580670832
demo_003,D0003,Northern Voyage,Nova Lane,Folk,demo,,,106.47444669648388,0.1335606434017641,0.0632858242488132,1788.914311952501,3968.1720671629873,-132.25377316326816,-138.96295817292645,-113.6790802398862,-95.19797547915996,-77.31022134912577,-61.81018736165716,-46.6532221184006,-41.2898005779875,-27.698814341316535,-2.636192949942769,3.469565400947081,9.294509413296623,24.933702287972157
demo_004,D0004,Echo Orbit,Mira Chen,Hip-Hop,demo,,,91.2825361018424,0.1678166391510492,0.0526346503309229,1906.0981007878556,4071.183864131363,-129.9952768482613,-123.2247723177619,-102.8457980995407,-97.5454075285332,-80.90443077252057,-66.80390315198663,-59.06671716471232,-31.354220153715342,-24.75521872162179,-6.6500470501785,11.34597327124727,25.322249408239557,41.32308087178229
demo_005,D0005,Velvet Voyage,Aster Club,Classical,demo,,,76.65265039872885,0.0638485536402886,0.0408655540925664,1312.3318956434114,3200.0507708825226,-126.8018061862125,-123.24383244288047,-105.02530043231512,-77.60617361771148,-76.8501117684914,-54.099875452263305,-53.46894144007901,-33.64350046294104,-25.60017643928465,-6.712264607204499,16.722465099659164,10.18143661446121,41.47538914836686
demo_006,D0006,Blue Fire,Low Gravity,Jazz,demo,,,115.71635852132964,0.1444444325725306,0.0423503244659681,1785.9494388860392,4334.810954403584,-124.82518283581246,-98.43576886943268,-99.4148450197842,-91.93797994097493,-68.56579492034948,-54.49002652822588,-31.626499398076508,-22.069110032683373,-12.145031526803926,10.456423129756494,2.989895565417193,21.131987738002017,32.5873924687558
demo_007,D0007,Velvet Horizon,The Satellites,Metal,demo,,,140.6791162245677,0.238132926382391,0.10916430509112,3436.016536787237,7360.20986283935,-113.29498745684496,-90.52615286646572,-69.68910027194136,-76.18472453379204,-73.91630496025492,-69.55637024585047,-36.85830830124932,-32.00352876248261,-15.322858081437484,-3.396774392478465,13.87367290866892,37.02784184630115,43.25638853956276
demo_008,D0008,Distant Signal,Mono Bloom,Pop,demo,,,122.01464981333872,0.1686254129914804,0.060292730834793,2117.736230676899,4774.212804620512,-153.95780382821692,-131.88808391181553,-128.49436478831322,-118.7295501313362,-101.72093409785896,-84.55180851628603,-46.47224214051869,-54.82109343379509,-26.29208637010924,-24.97341742469621,4.952584102993953,15.829607728846906,26.74689681873528
demo_009,D0009,Blue Skies,The Satellites,Rock,demo,,,147.51299148704967,0.2355120196679349,0.0904017521463681,3229.9755159829724,4923.9703567213,-137.3672699487165,-133.7200670914125,-120.94910660887906,-102.71339088317966,-79.5519860663454,-73.24493998908915,-63.2874178466699,-36.149690319520886,-26.56994849230709,-2.713952064032064,1.465875497775249,5.204247746235998,19.05472640603468
demo_010,D0010,Crystal Dream,Paper Comets,Electronic,demo,,,134.24312288120413,0.1868401820565109,0.085367577911133,3024.1159473332696,5959.100569424357,-152.1578161516466,-125.10338564248764,-118.65684098287672,-100.79097493376057,-87.3075431881961,-68.54940360960853,-45.24014510949026,-41.02532074478604,-21.848489653785137,-28.65137680824818,2.1102527845590564,10.504157837657033,22.249495516610978
demo_011,D0011,Lunar Dream,Mono Bloom,Folk,demo,,,99.4135497460574,0.0934139499540749,0.0479115158324381,1982.0573009334885,4418.51705698194,-131.97793739756315,-121.1950765039686,-100.30081514045806,-97.7360454339992,-87.56754089336562,-69.290870535044,-51.06002566983023,-37.08741313237032,-32.67510457786693,-8.776081746977006,6.825826641111242,39.63979230027137,49.01475689025336
demo_012,D0012,Lunar Voyage,Mono Bloom,Hip-Hop,demo,,,81.45590034057193,0.2007937760802992,0.0740986666112861,2699.4613875454543,4075.651456275858,-140.83267070194887,-125.98317152054236,-123.67831223790924,-93.55132736435928,-86.49931529487651,-67.98551541892859,-56.5148862253407,-36.00410043402046,-35.06182713085305,-18.486361963127926,24.533976896226385,11.450619349807752,27.225715372362885
demo_013,D0013,Midnight Voyage,Glass Harbor,Classical,demo,,,82.47839812820081,0.1000021098272853,0.0313413035974858,1532.2885080350602,3058.1667626821995,-131.96222276753687,-109.78129939150604,-98.52187140426705,-91.0092485698408,-75.07058371612833,-70.99916646695985,-47.905389951797325,-34.13109992007164,-16.14264088298995,-8.442617750552127,13.772308180361112,32.10172654255863,39.24343462134773
demo_014,D0014,Golden Static,Night Circuit,Jazz,demo,,,107.370459327768,0.1474127932983509,0.0569762714615173,2089.666253146642,4832.741548387057,-108.25465352855524,-98.66316078019806,-94.413227579548,-89.85445767755814,-78.89929177586734,-46.72085637528908,-40.39800619882289,-24.908852772867117,-28.956687895793543,6.169507852465446,16.135362705714904,17.366554524684176,36.22780154040041
demo_015,D0015,Golden Signal,Mira Chen,Metal,demo,,,161.7004013522906,0.2945663810496927,0.1357877392649193,3756.1270911342,6788.807271939718,-140.5332675274504,-108.39480211607749,-91.58790062902042,-77.1320480825032,-68.97531665057032,-66.55377425982866,-36.376036130287126,-11.68119828668652,-24.270891239329103,8.410624109585505,12.371798215016849,28.009405233369225,33.576811914368406
demo_016,D0016,Golden Pulse,Aster Club,Pop,demo,,,117.3974214439162,0.1506998201851296,0.0687806418916047,2842.9193926519474,4974.1395386860095,-141.04852379065767,-136.2380547300936,-117.87609458562352,-111.62256762827766,-93.46763347312636,-84.32939058640221,-55.58332852324118,-57.67642898491893,-26.74119726065871,-19.27520846004128,6.869976747738555,18.75695190985008,42.56516926117441
demo_017,D0017,Blue Signal,Aster Club,Rock,demo,,,126.68006917328005,0.2547726580698338,0.0760208672065527,3233.7467524939125,5558.393343461283,-155.59144342862996,-143.1097389315232,-119.73774325698992,-114.73248119504902,-95.36912221917264,-72.50392422759005,-50.75750371114643,-40.129908222204485,-48.3303160687848,-12.56506616775792,0.5762685858606234,18.311122282981543,42.929677453209656
demo_018,D0018,Northern Orbit,The Satellites,Electronic,demo,,,119.30770594068692,0.199443749567742,0.0874276743019743,3369.540149526183,6104.913203891084,-138.22732811325278,-134.81754929217436,-108.98989048027032,-92.20222755208768,-84.13697583890266,-69.37479285841043,-54.3372540857462,-48.65676211791505,-28.180229441922823,-13.470180259618871,5.567150914827961,25.24859397528236,23.531711344172727
